index,model_key,mileage,engine_power,fuel,paint_color,car_type,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,price,age
1768,116,87337.0,85.0,diesel,blue,hatchback,False,False,False,False,False,False,False,False,10800.0,4.4
1771,116,31794.0,85.0,diesel,white,hatchback,False,False,False,False,False,False,True,False,10600.0,4.7
1772,116,114544.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,9900.0,5.1
1773,116,178558.0,85.0,diesel,white,hatchback,False,False,False,False,False,False,True,False,8000.0,5.8
1775,116,163869.0,85.0,diesel,red,hatchback,False,False,False,False,False,False,True,False,9800.0,4.8
1776,116,155570.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,9900.0,5.9
1777,116,31794.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,11300.0,4.9
1783,116,42500.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,13700.0,3.08
1784,116,44969.0,85.0,petrol,black,hatchback,False,False,False,False,False,False,False,False,2400.0,4.5
1785,116,119045.0,85.0,diesel,white,hatchback,False,True,False,False,True,True,True,False,11100.0,5.7
1788,116,74088.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,10000.0,6.0
1790,116,75617.0,85.0,diesel,white,hatchback,False,False,False,False,False,False,False,False,11300.0,5.2
1791,116,31794.0,85.0,diesel,grey,hatchback,False,True,False,False,False,False,True,False,11100.0,3.08
1794,116,114077.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,9300.0,5.2
1800,116,169586.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,9100.0,5.2
1802,116,103195.0,85.0,diesel,grey,hatchback,True,True,False,False,False,False,True,False,10900.0,4.6
1803,116,127723.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,8600.0,5.4
1806,116,74031.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,12000.0,3.4
1807,116,71037.0,85.0,diesel,blue,hatchback,True,True,False,False,True,True,True,False,10700.0,5.4
1808,116,101583.0,85.0,diesel,black,hatchback,False,False,False,False,False,True,True,False,8900.0,5.7
1819,116,173913.0,85.0,diesel,white,hatchback,False,False,False,False,False,False,True,False,5000.0,8.2
1820,116,124017.0,85.0,diesel,brown,hatchback,False,True,False,False,False,False,True,False,9000.0,5.2
1821,116,71857.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,15100.0,3.2
1822,116,108352.0,85.0,diesel,grey,hatchback,False,True,False,False,False,False,True,False,11200.0,4.5
1829,116,146918.0,85.0,diesel,white,hatchback,True,True,False,False,False,False,True,False,11500.0,4.4
1830,116,139656.0,85.0,diesel,white,hatchback,False,True,False,False,True,False,True,False,9400.0,5.7
1831,116,181016.0,85.0,diesel,black,hatchback,False,True,False,False,True,False,True,False,11900.0,4.3
1832,116,174524.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,True,100.0,3.7
1833,116,116739.0,85.0,diesel,brown,hatchback,False,True,False,False,False,False,True,False,8900.0,3.8
1835,116,188283.59999999998,85.0,diesel,grey,hatchback,True,True,False,False,False,True,True,False,9200.0,5.8
1839,116,147717.0,85.0,petrol,black,hatchback,True,True,False,False,False,False,True,True,8400.0,6.1
1841,116,44687.0,85.0,diesel,brown,hatchback,True,False,False,False,False,False,True,False,11200.0,4.8
1845,116,31930.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,12400.0,4.6
1849,116,123526.0,85.0,diesel,blue,hatchback,False,False,False,False,False,False,True,False,5500.0,6.3
1850,116,119912.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,6400.0,8.219999999999999
1852,116,62153.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,10400.0,5.1
1858,116,147270.0,85.0,diesel,black,hatchback,False,True,False,False,True,False,True,False,10700.0,5.3
1862,116,156386.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,8900.0,4.4
1864,116,103226.0,85.0,diesel,white,hatchback,False,True,False,False,True,False,True,True,13000.0,3.8
1865,116,47793.0,85.0,diesel,black,hatchback,False,True,True,False,False,True,True,False,15100.0,3.08
1869,116,49161.0,85.0,diesel,blue,hatchback,False,False,False,False,False,False,True,False,11400.0,5.2
1872,116,163252.0,85.0,diesel,white,hatchback,False,True,False,False,True,False,True,False,9500.0,4.3
1877,116,154269.0,85.0,diesel,silver,hatchback,False,False,False,False,False,False,True,False,8600.0,5.8
1879,116,74331.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,10500.0,4.8
1881,116,127059.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,False,True,3600.0,3.8
1885,116,31794.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,15100.0,3.08
1890,116,171543.0,85.0,diesel,blue,hatchback,True,False,False,False,False,False,True,False,8000.0,4.8
1897,116,125225.0,85.0,diesel,blue,hatchback,True,True,True,False,True,True,True,False,9800.0,4.4
1898,116,188283.59999999998,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,8300.0,5.3
1901,116,113791.0,85.0,diesel,grey,hatchback,False,False,False,False,False,True,True,True,11900.0,6.0
1905,116,90283.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,6700.0,4.5
1906,116,188283.59999999998,85.0,diesel,blue,hatchback,True,True,False,False,False,False,True,True,9700.0,4.6
1907,116,121953.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,6400.0,8.219999999999999
1914,116,174926.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,6000.0,8.219999999999999
1916,116,155334.0,85.0,diesel,black,hatchback,False,False,False,False,True,False,True,False,8300.0,5.8
1917,116,181022.0,85.0,diesel,grey,hatchback,False,False,False,False,True,False,True,False,9000.0,5.8
1918,116,72402.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,15100.0,3.3
1919,116,163176.0,85.0,diesel,blue,hatchback,True,True,False,False,True,False,True,False,5700.0,4.6
1921,116,81668.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,9000.0,4.8
1923,116,171974.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,9000.0,5.9
1926,116,130922.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,6300.0,7.2
1927,116,125941.0,85.0,diesel,black,hatchback,True,True,False,False,True,False,True,False,10000.0,5.8
1928,116,75341.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,10600.0,3.5
1930,116,177549.0,85.0,diesel,white,hatchback,False,True,False,False,True,False,True,False,10900.0,4.1
1933,116,148480.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,9400.0,5.2
1940,116,116538.0,85.0,diesel,white,hatchback,False,False,False,False,False,False,True,False,6700.0,8.219999999999999
1941,116,89191.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,10000.0,6.1
1943,116,120427.0,85.0,diesel,white,hatchback,False,True,False,False,False,False,True,False,7700.0,4.3
1954,116,53686.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,11900.0,5.0
1956,116,31794.0,85.0,diesel,black,hatchback,False,True,False,False,True,True,True,False,2800.0,3.2
1959,116,177472.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,7300.0,6.0
1960,116,175983.0,85.0,diesel,grey,hatchback,False,True,False,False,True,False,True,False,11500.0,5.0
1964,116,43694.0,85.0,diesel,blue,hatchback,True,True,False,False,False,False,True,False,7300.0,5.5
1968,116,100632.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,9000.0,6.0
1972,116,104796.0,85.0,diesel,black,hatchback,True,False,False,False,True,False,True,False,9900.0,5.4
1973,116,152055.0,85.0,diesel,black,hatchback,True,False,True,False,True,True,True,True,12400.0,4.0
1974,116,90932.0,85.0,diesel,grey,hatchback,False,True,False,False,False,False,False,False,9500.0,5.2
1977,116,82721.0,85.0,diesel,white,hatchback,False,True,False,False,False,False,True,False,12500.0,3.08
1979,116,147708.0,85.0,petrol,black,hatchback,False,False,False,False,False,False,True,False,3300.0,8.219999999999999
1987,116,126944.0,85.0,diesel,blue,hatchback,True,True,False,False,False,False,True,False,9000.0,4.6
1989,116,111119.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,10900.0,5.4
1991,116,98725.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,9800.0,3.5
1992,116,71138.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,15100.0,3.1
1993,116,146057.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,8900.0,5.8
1998,116,52301.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,10000.0,4.9
1999,116,85124.0,85.0,diesel,grey,hatchback,False,True,False,False,False,False,True,False,9200.0,5.7
2007,116,52139.0,85.0,diesel,blue,hatchback,False,False,False,False,False,False,True,False,9400.0,5.3
2009,116,88739.0,85.0,diesel,blue,hatchback,True,False,False,False,False,False,True,False,8300.0,5.2
2012,116,107880.0,85.0,diesel,white,hatchback,False,False,False,False,True,True,True,False,12900.0,5.2
2014,116,102321.0,85.0,diesel,grey,hatchback,True,True,False,False,False,False,True,False,10900.0,4.8
2019,116,178367.0,85.0,diesel,white,hatchback,False,True,False,False,False,True,True,True,9900.0,3.4
2020,116,184087.0,85.0,diesel,blue,hatchback,True,True,False,False,False,False,True,False,8600.0,5.4
2025,116,130547.0,85.0,diesel,white,hatchback,False,True,False,False,False,False,True,True,10800.0,3.7
2027,116,186903.0,85.0,diesel,silver,hatchback,False,True,False,False,False,False,True,False,10200.0,5.4
2028,116,75413.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,10800.0,4.3
2030,116,188283.59999999998,85.0,diesel,black,hatchback,False,True,True,False,True,False,False,False,9800.0,5.2
2031,116,155088.0,85.0,diesel,grey,hatchback,True,True,False,False,False,False,True,False,9000.0,4.4
2034,116,169720.0,85.0,diesel,blue,hatchback,False,False,False,False,False,False,True,False,8100.0,6.2
2037,116,164467.0,85.0,diesel,grey,hatchback,False,False,False,False,False,True,True,False,9500.0,5.8
2038,116,102677.0,85.0,petrol,black,hatchback,False,False,False,False,True,True,True,False,10100.0,5.8
2041,116,135880.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,8800.0,3.8
2045,116,109377.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,8900.0,6.0
2049,116,107248.0,85.0,diesel,black,hatchback,True,True,False,False,True,True,True,False,10900.0,5.0
2052,116,74820.0,85.0,diesel,silver,hatchback,False,True,False,False,False,True,True,False,11400.0,4.5
2054,116,131563.0,85.0,diesel,grey,hatchback,False,True,False,False,False,False,True,False,9500.0,5.7
2061,116,137867.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,8700.0,5.0
2062,116,130353.0,85.0,diesel,black,hatchback,True,True,False,False,False,False,True,False,9000.0,5.5
2063,116,140631.0,85.0,diesel,grey,hatchback,False,True,True,False,False,True,True,False,9000.0,4.8
2066,116,148328.0,85.0,diesel,grey,hatchback,False,True,False,False,False,True,True,True,9300.0,5.1
2075,116,42273.0,85.0,petrol,black,hatchback,False,False,False,False,False,False,True,False,13400.0,3.08
2078,116,132529.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,8300.0,5.6
2080,116,176983.0,85.0,diesel,silver,hatchback,False,True,False,False,False,False,True,False,7900.0,5.2
2083,116,188283.59999999998,85.0,diesel,grey,hatchback,False,True,False,False,True,False,True,True,10500.0,5.9
2085,116,154078.0,85.0,diesel,silver,hatchback,False,True,False,False,False,False,True,False,8100.0,5.8
2089,116,129872.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,7100.0,5.2
2090,116,146485.0,85.0,diesel,blue,hatchback,False,False,False,False,False,False,True,False,8000.0,4.9
2096,116,39555.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,4300.0,4.5
2099,116,168233.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,True,3600.0,3.8
2101,116,188283.59999999998,85.0,diesel,blue,hatchback,True,True,False,False,False,False,True,True,9500.0,4.6
2107,116,137574.0,85.0,diesel,blue,hatchback,True,True,False,False,False,True,True,False,9200.0,5.5
2108,116,122647.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,10600.0,5.4
2109,116,60828.0,85.0,petrol,black,hatchback,False,False,False,False,False,False,True,False,8100.0,8.219999999999999
2110,116,85989.0,85.0,petrol,black,hatchback,False,False,False,False,False,False,True,False,6100.0,8.219999999999999
2116,116,88560.0,85.0,diesel,brown,hatchback,False,True,False,False,False,False,True,False,9800.0,3.7
2118,116,105140.0,85.0,diesel,grey,hatchback,False,True,False,False,False,False,False,False,9300.0,4.7
2119,116,70033.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,10700.0,3.7
2120,116,133992.0,85.0,diesel,brown,hatchback,False,False,False,False,False,False,True,False,8200.0,5.8
2126,116,116035.0,85.0,diesel,grey,hatchback,True,True,True,False,False,True,True,False,10100.0,4.8
2128,116,48859.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,11900.0,4.8
2131,116,155916.0,85.0,diesel,black,hatchback,False,True,False,False,True,False,False,True,9800.0,4.8
2136,116,31794.0,85.0,diesel,silver,hatchback,False,True,False,False,False,False,True,False,9200.0,5.0
2138,116,91361.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,7300.0,3.08
2144,116,130511.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,6300.0,7.3
2145,116,97884.0,85.0,diesel,brown,hatchback,True,True,False,False,False,False,True,False,11300.0,4.8
2153,116,169094.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,True,11400.0,4.2
2154,116,156699.0,85.0,diesel,blue,hatchback,False,True,False,False,True,False,False,False,10200.0,3.5
2162,116,67330.0,85.0,diesel,blue,hatchback,False,False,False,False,True,False,True,False,10700.0,5.7
2166,116,183829.0,85.0,diesel,blue,hatchback,False,True,False,False,False,True,True,False,8700.0,6.0
2172,116,188283.59999999998,85.0,diesel,black,hatchback,True,True,False,False,True,False,True,False,8700.0,5.8
2176,116,111308.0,85.0,petrol,black,hatchback,False,False,False,False,True,False,True,False,3500.0,8.219999999999999
2179,116,38917.0,85.0,diesel,white,hatchback,False,True,False,False,False,False,False,False,7100.0,3.5
2180,116,147313.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,False,False,8900.0,4.5
2185,116,153985.0,85.0,diesel,silver,hatchback,False,True,False,False,False,False,False,False,9300.0,5.5
2186,116,105041.0,85.0,diesel,white,hatchback,False,True,False,False,False,True,True,False,11200.0,5.0
2189,116,177679.0,85.0,diesel,grey,hatchback,True,False,False,False,False,False,True,True,9200.0,6.4
2190,116,85173.0,85.0,diesel,blue,hatchback,True,True,True,False,False,False,True,False,11100.0,5.7
2192,116,188283.59999999998,85.0,diesel,black,hatchback,False,True,False,False,True,True,True,False,10000.0,4.8
2193,116,127577.0,85.0,diesel,white,hatchback,False,False,False,False,False,False,True,False,8900.0,5.1
2203,116,62350.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,10600.0,4.7
2204,116,86048.0,85.0,diesel,black,hatchback,False,True,False,False,False,True,True,False,11900.0,5.1
2205,116,31794.0,85.0,diesel,white,hatchback,False,True,False,False,False,False,True,False,14500.0,3.08
2206,116,181062.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,8600.0,5.3
2208,116,75197.0,85.0,diesel,blue,hatchback,True,False,False,False,False,True,True,False,10900.0,5.3
2212,116,111944.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,8700.0,6.2
2215,116,181208.0,85.0,diesel,white,hatchback,True,False,False,False,False,False,True,True,8100.0,5.1
2218,116,121821.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,8400.0,6.0
2219,116,116708.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,9000.0,4.8
2224,116,100865.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,10700.0,4.8
2227,116,101675.0,85.0,diesel,blue,hatchback,False,True,False,False,False,True,True,False,9800.0,5.1
2231,116,150919.0,85.0,diesel,grey,hatchback,False,True,False,False,False,False,True,False,8200.0,6.1
2232,116,43386.0,85.0,diesel,blue,hatchback,False,False,False,False,False,False,True,False,15100.0,3.8
2234,116,148925.0,85.0,diesel,grey,hatchback,False,True,False,False,False,False,True,False,9500.0,4.7
2236,116,90083.0,85.0,diesel,brown,hatchback,False,False,False,False,False,False,True,False,9900.0,4.8
2240,116,143829.0,85.0,diesel,grey,hatchback,False,True,False,False,False,False,True,False,9900.0,5.9
2241,116,145350.0,85.0,diesel,blue,hatchback,True,True,False,False,False,False,True,False,9400.0,6.0
2243,116,179071.0,85.0,diesel,grey,hatchback,False,True,False,False,True,False,True,False,11600.0,5.4
2244,116,138203.0,85.0,diesel,grey,hatchback,False,True,False,False,False,False,True,False,9500.0,6.5
2246,116,110575.0,85.0,diesel,blue,hatchback,False,False,False,False,False,False,True,False,9000.0,5.9
2250,116,69188.0,85.0,diesel,blue,hatchback,False,False,False,False,False,False,True,False,9600.0,4.9
2251,116,43822.0,85.0,diesel,black,hatchback,False,True,False,False,True,False,True,False,9600.0,3.08
2252,116,112223.0,85.0,diesel,blue,hatchback,True,True,True,False,False,False,True,False,8300.0,5.1
2258,116,141063.0,85.0,diesel,white,hatchback,False,True,False,False,False,False,True,False,10100.0,4.1
2260,116,151334.0,85.0,diesel,white,hatchback,False,True,False,False,False,False,True,False,9400.0,5.2
2263,116,59453.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,10100.0,5.0
2264,116,102884.0,85.0,diesel,grey,hatchback,True,False,True,False,False,False,True,False,5700.0,7.0
2268,116,137660.0,85.0,diesel,blue,hatchback,True,True,False,False,False,True,True,False,9000.0,5.7
2269,116,113121.0,85.0,diesel,brown,hatchback,True,True,False,False,False,False,True,False,10800.0,5.8
2271,116,136286.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,8700.0,4.8
2272,116,60979.0,85.0,diesel,brown,hatchback,False,False,False,False,False,False,True,False,9900.0,4.7
2274,116,123406.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,6300.0,8.219999999999999
2277,116,52611.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,10200.0,4.9
2280,116,184574.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,9400.0,5.3
2283,116,86537.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,15100.0,4.4
2284,116,135543.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,6900.0,7.4
2285,116,115193.0,85.0,diesel,silver,hatchback,False,True,False,False,False,False,True,False,10100.0,5.1
2287,116,145241.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,7900.0,6.8
2288,116,60957.0,85.0,diesel,blue,hatchback,True,False,False,False,False,False,True,False,12700.0,6.3
2290,116,151557.0,85.0,diesel,black,hatchback,False,False,False,False,False,True,True,False,9000.0,5.1
2292,116,177314.0,85.0,diesel,white,hatchback,False,False,False,False,False,False,True,False,8300.0,5.8
2294,116,121510.0,85.0,diesel,black,hatchback,False,True,False,False,False,True,True,False,9200.0,5.1
2296,116,70714.0,85.0,diesel,white,hatchback,False,False,False,False,False,False,True,False,10700.0,5.1
2298,116,137507.0,85.0,diesel,brown,hatchback,False,True,False,False,False,False,True,False,9000.0,4.8
2301,116,67035.0,85.0,diesel,white,hatchback,False,False,False,False,False,False,True,False,8900.0,5.0
2303,116,155313.0,85.0,diesel,white,hatchback,False,True,False,False,False,False,True,False,9600.0,5.8
2304,116,42485.0,85.0,diesel,silver,hatchback,False,False,False,False,False,False,True,False,10800.0,5.1
2305,116,77065.0,85.0,diesel,blue,hatchback,True,True,False,False,True,False,True,False,13400.0,5.1
2308,116,70800.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,10100.0,4.8
2312,116,86736.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,15100.0,4.4
2314,116,175172.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,5400.0,8.219999999999999
2318,116,129562.0,85.0,diesel,grey,hatchback,True,False,False,False,False,False,True,False,10200.0,6.4
2319,116,98204.0,85.0,diesel,black,hatchback,False,True,False,False,True,True,True,False,11500.0,5.8
2321,116,150130.0,85.0,diesel,blue,hatchback,True,True,False,False,True,False,True,False,11200.0,5.8
2322,116,188283.59999999998,85.0,petrol,black,hatchback,False,True,False,False,False,False,True,False,8900.0,6.1
2327,116,116652.0,85.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,9200.0,5.4
2328,116,121765.0,85.0,diesel,grey,hatchback,True,True,False,False,True,False,True,False,10800.0,5.4
2330,116,136985.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,7700.0,6.5
2334,116,88491.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,10200.0,5.1
2335,116,155733.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,10100.0,4.8
2338,116,57727.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,9600.0,5.1
2343,116,122092.0,85.0,diesel,brown,hatchback,False,True,False,False,True,False,True,False,10600.0,5.5
2344,116,155705.0,85.0,diesel,black,hatchback,False,False,True,False,False,True,True,False,10500.0,5.7
2345,116,163618.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,8600.0,6.3
2346,116,116770.0,85.0,diesel,black,hatchback,False,True,False,False,True,False,True,False,9600.0,5.7
2349,116,64215.0,85.0,diesel,blue,hatchback,False,False,False,False,False,False,True,False,10100.0,5.0
2352,116,131547.0,85.0,diesel,blue,hatchback,True,True,False,False,False,False,True,False,3600.0,6.2
2355,116,188283.59999999998,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,8300.0,4.8
2357,116,60598.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,10700.0,5.2
2362,116,31794.0,85.0,diesel,white,hatchback,False,True,False,False,False,False,True,False,12600.0,3.1
2364,116,31794.0,85.0,diesel,white,hatchback,False,True,False,False,False,False,True,False,13200.0,4.1
2365,116,121457.0,85.0,diesel,blue,hatchback,False,True,False,False,True,True,True,False,9900.0,5.2
2367,116,183765.0,85.0,diesel,black,hatchback,True,True,False,False,True,False,True,False,9400.0,5.9
2369,116,121575.0,85.0,diesel,black,hatchback,True,True,False,False,False,True,True,False,12000.0,5.3
2371,116,120098.0,85.0,diesel,blue,hatchback,True,True,False,False,False,False,True,False,9400.0,6.1
2372,116,59675.0,85.0,diesel,white,hatchback,True,True,True,False,False,True,True,False,15100.0,3.08
2373,116,120328.0,85.0,diesel,grey,hatchback,False,True,False,False,False,False,True,False,10000.0,5.3
2375,116,159542.0,85.0,diesel,brown,hatchback,True,True,False,False,False,False,True,False,10400.0,5.4
2376,116,31794.0,85.0,petrol,silver,hatchback,False,True,False,False,False,False,True,False,15100.0,3.08
2377,116,181345.0,85.0,diesel,blue,hatchback,False,True,False,False,True,True,True,False,9900.0,5.2
2378,116,188119.0,85.0,petrol,brown,hatchback,False,False,False,False,False,False,True,False,4400.0,8.219999999999999
2379,116,141228.0,85.0,diesel,grey,hatchback,False,True,False,False,False,False,True,False,10000.0,4.8
2380,116,144563.0,85.0,diesel,blue,hatchback,False,False,False,False,False,False,True,False,8200.0,4.8
2385,116,129357.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,9800.0,5.8
2388,116,149379.0,85.0,diesel,white,hatchback,False,True,False,False,True,True,True,False,11400.0,5.3
2389,116,109621.0,85.0,diesel,grey,hatchback,True,True,False,False,False,False,True,False,10900.0,5.3
2391,116,141587.0,85.0,diesel,black,hatchback,False,False,False,False,True,False,True,False,9200.0,5.8
2393,116,186764.0,85.0,diesel,black,hatchback,False,True,False,False,False,False,True,False,7900.0,6.0
2395,116,61316.0,85.0,diesel,grey,hatchback,True,False,False,False,True,True,True,False,11300.0,5.1
2396,116,129990.0,85.0,diesel,blue,hatchback,False,False,False,False,False,False,True,False,9500.0,5.5
2401,116,123743.0,85.0,diesel,blue,hatchback,False,True,False,False,False,True,True,False,10600.0,5.2
2407,116,74947.0,85.0,diesel,black,hatchback,False,False,False,False,False,True,True,False,11900.0,4.8
2408,116,114740.0,85.0,diesel,white,hatchback,False,False,False,False,False,False,True,False,8300.0,5.3
2411,116,175163.0,85.0,diesel,grey,hatchback,False,False,False,False,False,False,True,False,4500.0,8.219999999999999
2413,116,100286.0,85.0,diesel,blue,hatchback,False,True,False,False,True,False,True,False,6000.0,6.3
2417,116,66020.0,85.0,diesel,black,hatchback,True,True,False,False,False,False,True,False,10100.0,6.2
2420,116,96058.0,85.0,diesel,brown,hatchback,False,False,False,False,False,False,True,False,9400.0,5.0
2421,116,91429.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,10200.0,4.0
2423,116,99434.0,85.0,diesel,blue,hatchback,False,False,False,False,True,False,True,False,10200.0,5.5
2425,116,109136.0,85.0,diesel,silver,hatchback,True,False,False,False,False,True,True,False,10900.0,5.6
